player,salary_rank,team,games_played,player_mvp_calc_avg,salary,team_games_played,games_missed,pvm_rank,rankingish,percentile_rank,color_var,adj_penalty_final,pct_penalized
Tyus Jones,$5-10 M,MEM,57,17.3,7522200,64,7,15.89,0.688,68.8,Normal,1,0
Otto Porter,< $5 M,GSW,52,17.3,2389641,63,11,6.86,0.934,93.4,Great Value,1,0
Jae'Sean Tate,< $5 M,HOU,60,17.3,1517981,62,2,6.86,0.934,93.4,Great Value,1,0
Hassan Whiteside,< $5 M,UTA,49,17.3,2401537,61,12,6.86,0.934,93.4,Great Value,1,0
Jarred Vanderbilt,< $5 M,MIN,58,17.1,4259259,63,5,6.86,0.932,93.2,Great Value,1,0
Coby White,$5-10 M,CHI,43,17.03,5837760,63,20,15.89,0.675,67.5,Normal,0.86,0.14
LaMarcus Aldridge,< $5 M,BKN,44,16.77,2641691,64,20,6.86,0.929,92.9,Great Value,0.86,0.14
Kyle Anderson,$5-10 M,MEM,51,16.7,9937150,64,13,15.89,0.662,66.2,Normal,1,0
Gabe Vincent,< $5 M,MIA,55,16.7,1669178,64,9,6.86,0.927,92.7,Great Value,1,0
Nickeil Alexander-Walker,< $5 M,UTA,52,16.6,3261480,61,9,6.86,0.924,92.4,Great Value,1,0
P.J. Tucker,$5-10 M,MIA,56,16.6,7000000,64,8,15.89,0.649,64.9,Normal,1,0
Robert Covington,$10-15 M,LAC,59,16.5,12975471,65,6,17.66,0.514,51.4,Normal,1,0
Lonnie Walker,< $5 M,SAS,58,16.5,4447896,63,5,6.86,0.922,92.2,Great Value,1,0
Kevin Porter,< $5 M,HOU,41,16.48,2130240,62,21,6.86,0.919,91.9,Great Value,0.82,0.18
Duncan Robinson,$15-20 M,MIA,61,16.3,15560000,64,3,20.88,0.226,22.6,Normal,1,0
P.J. Washington,< $5 M,CHA,47,16.28,4215120,64,17,6.86,0.916,91.6,Great Value,0.92,0.08
Eric Gordon,$15-20 M,HOU,50,16.2,18218818,62,12,20.88,0.194,19.4,Bad Value,1,0
Ivica Zubac,$5-10 M,LAC,59,16.2,7518518,65,6,15.89,0.636,63.6,Normal,1,0
Derrick Rose,$10-15 M,NYK,26,16.13,13445120,62,36,17.66,0.486,48.6,Normal,0.75,0.25
Danilo Gallinari,$20-25 M,ATL,51,16.1,20475000,62,11,22.3,0.083,8.3,Bad Value,1,0
Cody Martin,< $5 M,CHA,53,16.1,1782621,64,11,6.86,0.914,91.4,Great Value,1,0
Cedi Osman,$5-10 M,CLE,50,16.1,8050000,62,12,15.89,0.61,61,Normal,1,0
Mason Plumlee,$5-10 M,CHA,55,16.1,8137500,64,9,15.89,0.61,61,Normal,1,0
Mohamed Bamba,$5-10 M,ORL,52,16,7568742,63,11,15.89,0.597,59.7,Normal,1,0
Mitchell Robinson,< $5 M,NYK,56,15.9,1802057,62,6,6.86,0.911,91.1,Great Value,1,0
Alex Caruso,$5-10 M,CHI,28,15.83,8604651,63,35,15.89,0.584,58.4,Normal,0.75,0.25
JaVale McGee,$5-10 M,PHX,56,15.8,5000000,62,6,15.89,0.571,57.1,Normal,1,0
Andre Drummond,< $5 M,BKN,56,15.8,2401537,64,8,6.86,0.909,90.9,Great Value,1,0
Immanuel Quickley,< $5 M,NYK,58,15.7,2210640,62,4,6.86,0.906,90.6,Great Value,1,0
Pat Connaughton,$5-10 M,MIL,54,15.6,5333333,63,9,15.89,0.545,54.5,Normal,1,0
Chris Boucher,$5-10 M,TOR,60,15.6,7009615,62,2,15.89,0.545,54.5,Normal,1,0
Malik Beasley,$10-15 M,MIN,62,15.6,14391964,63,1,17.66,0.457,45.7,Normal,1,0
Isaiah Hartenstein,< $5 M,LAC,51,15.58,3430810,65,14,6.86,0.904,90.4,Great Value,0.98,0.02
Kentavious Caldwell-Pope,$10-15 M,WAS,58,15.4,13038862,61,3,17.66,0.429,42.9,Normal,1,0
Kevon Looney,$5-10 M,GSW,63,15.4,5178572,63,0,15.89,0.532,53.2,Normal,1,0
Caleb Martin,< $5 M,MIA,49,15.36,1000000,64,15,6.86,0.901,90.1,Great Value,0.96,0.04
Marcus Morris,$15-20 M,LAC,40,15.28,15627907,65,25,20.88,0.161,16.1,Bad Value,0.76,0.24
Max Strus,< $5 M,MIA,51,15.2,1669178,64,13,6.86,0.899,89.9,Normal,1,0
Davion Mitchell,< $5 M,SAC,58,15.1,4603320,65,7,6.86,0.896,89.6,Normal,1,0
Michael Porter,$5-10 M,DEN,9,14.93,5258735,62,53,15.89,0.519,51.9,Normal,0.75,0.25
Hamidou Diallo,$5-10 M,DET,56,14.9,5200000,63,7,15.89,0.506,50.6,Normal,1,0
Justin Holiday,$5-10 M,SAC,58,14.8,6006420,65,7,15.89,0.494,49.4,Normal,1,0
Frank Kaminsky,< $5 M,PHX,9,14.78,2089448,62,53,6.86,0.894,89.4,Normal,0.75,0.25
Daniel Gafford,< $5 M,WAS,52,14.7,1782621,61,9,6.86,0.891,89.1,Normal,1,0
Ayo Dosunmu,< $5 M,CHI,58,14.5,925258,63,5,6.86,0.889,88.9,Normal,1,0
Derrick Walton,< $5 M,DET,3,14.4,1000000,63,60,6.86,0.884,88.4,Normal,0.75,0.25
Precious Achiuwa,< $5 M,TOR,53,14.4,2711280,62,9,6.86,0.884,88.4,Normal,1,0
Jalen Suggs,$5-10 M,ORL,42,14.36,6593040,63,21,15.89,0.481,48.1,Normal,0.84,0.16
Joe Ingles,$10-15 M,UTA,45,14.35,14000000,61,16,17.66,0.4,40,Normal,0.92,0.08
Cameron Payne,$5-10 M,PHX,41,14.35,6500000,62,21,15.89,0.468,46.8,Normal,0.82,0.18
Deni Avdija,< $5 M,WAS,61,14.3,4692840,61,0,6.86,0.878,87.8,Normal,1,0
Darius Bazley,< $5 M,OKC,57,14.3,2513040,62,5,6.86,0.878,87.8,Normal,1,0
Josh Richardson,$10-15 M,SAS,48,14.3,11600000,63,15,17.66,0.371,37.1,Normal,0.96,0.04
Reggie Bullock,$5-10 M,DAL,53,14.1,9536000,63,10,15.89,0.455,45.5,Normal,1,0
Chuma Okeke,< $5 M,ORL,52,14.1,3277080,63,11,6.86,0.876,87.6,Normal,1,0
Maxi Kleber,$5-10 M,DAL,45,14.04,8750000,63,18,15.89,0.442,44.2,Normal,0.9,0.1
Jaden McDaniels,< $5 M,MIN,60,14,2063280,63,3,6.86,0.873,87.3,Normal,1,0
Gary Payton,< $5 M,GSW,60,13.9,1939350,63,3,6.86,0.868,86.8,Normal,1,0
