index,home_team,away_team,proper_date,home_team_rank,home_days_rest,home_team_avg_pts_scored,home_team_avg_pts_scored_opp,home_team_win_pct,home_team_win_pct_last10,home_is_top_players,away_team_rank,away_days_rest,away_team_avg_pts_scored,away_team_avg_pts_scored_opp,away_team_win_pct,away_team_win_pct_last10,away_is_top_players,home_team_predicted_win_pct,away_team_predicted_win_pct
2,New Orleans Pelicans,Chicago Bulls,2022-03-24,22,2,108.5,109.9,0.417,0.4,1,11,1,111.8,111.2,0.583,0.3,0,0.534,0.466
0,Toronto Raptors,Cleveland Cavaliers,2022-03-24,14,2,108.7,107.3,0.556,0.6,2,12,2,107.4,104.6,0.569,0.5,1,0.615,0.385
4,Denver Nuggets,Phoenix Suns,2022-03-24,10,1,111.5,109,0.589,0.6,2,1,0,115,106.6,0.808,0.8,1,0.526,0.474
1,Memphis Grizzlies,Indiana Pacers,2022-03-24,2,0,114.9,109.5,0.685,0.7,1,26,0,110.9,113.1,0.342,0.4,1,0.869,0.131
3,Milwaukee Bucks,Washington Wizards,2022-03-24,5,1,115.1,111.1,0.625,0.8,1,21,2,108.3,111.6,0.423,0.2,0,0.831,0.169
0,Detroit Pistons,Washington Wizards,2022-03-25,28,1,104.4,112.4,0.274,0.4,2,22,0,108.2,111.6,0.417,0.2,0,0.646,0.354
6,Los Angeles Clippers,Philadelphia 76ers,2022-03-25,18,2,106.8,108.1,0.486,0.3,1,6,1,108.7,106.7,0.625,0.6,2,0.298,0.702
5,Portland Trail Blazers,Houston Rockets,2022-03-25,24,1,107.2,114.5,0.375,0.2,0,30,1,108.7,118.1,0.247,0.3,2,0.444,0.556
3,Miami Heat,New York Knicks,2022-03-25,4,1,109.4,105.1,0.644,0.6,1,20,1,106.3,106.9,0.425,0.6,1,0.792,0.208
2,Atlanta Hawks,Golden State Warriors,2022-03-25,17,1,112.8,112.2,0.493,0.5,1,3,1,111,105,0.658,0.5,1,0.347,0.653
1,Charlotte Hornets,Utah Jazz,2022-03-25,16,1,114.8,114.6,0.507,0.7,2,8,1,113.7,107.6,0.616,0.5,2,0.409,0.591
4,Minnesota Timberwolves,Dallas Mavericks,2022-03-25,12,1,115.4,112.1,0.568,0.7,1,9,1,106.7,104,0.616,0.7,2,0.429,0.571
1,Orlando Magic,Sacramento Kings,2022-03-26,28,2,104.1,111.9,0.27,0.4,2,25,2,110.5,115.8,0.351,0.3,1,0.56,0.44
7,Portland Trail Blazers,Houston Rockets,2022-03-26,24,0,107.2,114.6,0.37,0.2,0,30,0,108.9,117.9,0.257,0.3,2,0.442,0.558
4,Cleveland Cavaliers,Chicago Bulls,2022-03-26,13,1,107.4,104.8,0.562,0.5,1,11,1,111.8,111.4,0.575,0.3,1,0.541,0.459
0,New Orleans Pelicans,San Antonio Spurs,2022-03-26,21,1,108.8,109.8,0.425,0.4,1,23,2,112.9,113.4,0.397,0.5,2,0.478,0.522
2,Toronto Raptors,Indiana Pacers,2022-03-26,14,1,108.8,107.3,0.562,0.7,2,26,1,110.8,113.4,0.338,0.3,2,0.732,0.268
5,Miami Heat,Brooklyn Nets,2022-03-26,4,0,109.3,105.1,0.635,0.5,1,15,2,112.2,112,0.521,0.6,2,0.557,0.443
6,Denver Nuggets,Oklahoma City Thunder,2022-03-26,10,1,111.8,109.4,0.581,0.5,2,27,2,103.3,110.9,0.288,0.1,0,0.877,0.123
3,Memphis Grizzlies,Milwaukee Bucks,2022-03-26,2,1,115.1,109.4,0.689,0.8,1,5,1,115.1,111,0.63,0.8,0,0.703,0.297
0,Detroit Pistons,New York Knicks,2022-03-27,28,1,104.3,112.2,0.27,0.3,1,19,1,106.3,106.9,0.432,0.6,1,0.391,0.609
6,Dallas Mavericks,Utah Jazz,2022-03-27,8,1,106.6,104.1,0.608,0.6,2,9,1,113.5,107.6,0.608,0.5,2,0.546,0.454
1,Washington Wizards,Golden State Warriors,2022-03-27,21,1,108.1,111.4,0.425,0.2,0,3,1,111,105.2,0.649,0.5,1,0.215,0.785
4,New Orleans Pelicans,Los Angeles Lakers,2022-03-27,22,0,108.7,109.8,0.419,0.4,1,20,3,111.6,114.3,0.425,0.3,0,0.538,0.462
3,Boston Celtics,Minnesota Timberwolves,2022-03-27,7,3,110.4,103.8,0.622,0.9,0,12,1,115.4,111.9,0.573,0.7,2,0.584,0.416
5,Brooklyn Nets,Charlotte Hornets,2022-03-27,15,0,112.2,111.8,0.527,0.7,2,16,1,114.7,114.5,0.514,0.7,2,0.511,0.489
2,Phoenix Suns,Philadelphia 76ers,2022-03-27,1,2,115.3,106.9,0.811,0.9,2,4,1,108.9,106.5,0.63,0.7,2,0.634,0.366
5,New York Knicks,Chicago Bulls,2022-03-28,19,0,106.3,106.8,0.44,0.6,2,11,1,111.6,111.2,0.581,0.4,2,0.364,0.636
8,Portland Trail Blazers,Oklahoma City Thunder,2022-03-28,24,1,107.1,114.6,0.365,0.2,0,27,1,103.4,110.9,0.284,0.1,0,0.603,0.397
0,Cleveland Cavaliers,Orlando Magic,2022-03-28,14,1,107.2,104.7,0.554,0.4,1,30,1,104.1,111.9,0.267,0.4,2,0.731,0.269
6,Houston Rockets,San Antonio Spurs,2022-03-28,29,1,109,117.6,0.267,0.4,2,23,1,112.9,113.2,0.405,0.6,2,0.411,0.589
3,Toronto Raptors,Boston Celtics,2022-03-28,12,1,109.1,107.1,0.568,0.8,2,5,0,110.7,103.9,0.627,0.9,2,0.46,0.54
4,Miami Heat,Sacramento Kings,2022-03-28,4,1,109.1,105.2,0.627,0.4,2,25,1,110.5,115.7,0.36,0.3,1,0.872,0.128
1,Indiana Pacers,Atlanta Hawks,2022-03-28,26,1,110.5,113.6,0.333,0.3,1,17,2,112.9,112.2,0.5,0.6,1,0.396,0.604
2,Charlotte Hornets,Denver Nuggets,2022-03-28,15,0,114.8,114.4,0.52,0.7,2,10,1,111.8,109.4,0.587,0.5,2,0.41,0.59
7,Memphis Grizzlies,Golden State Warriors,2022-03-28,2,1,115.3,109.3,0.693,0.8,1,3,0,111,105.4,0.64,0.5,1,0.618,0.382
2,Dallas Mavericks,Los Angeles Lakers,2022-03-29,8,1,106.7,104.1,0.613,0.6,2,22,1,111.6,114.3,0.419,0.3,0,0.869,0.131
4,Los Angeles Clippers,Utah Jazz,2022-03-29,18,3,106.7,108.3,0.48,0.2,1,9,1,113.3,107.6,0.6,0.4,1,0.493,0.507
1,Washington Wizards,Chicago Bulls,2022-03-29,20,1,108.3,111.5,0.432,0.3,0,11,0,111.5,111.1,0.573,0.4,2,0.271,0.729
0,Philadelphia 76ers,Milwaukee Bucks,2022-03-29,6,1,108.8,106.6,0.622,0.6,2,5,2,114.9,111.2,0.622,0.7,1,0.555,0.445
3,Brooklyn Nets,Detroit Pistons,2022-03-29,15,1,112.2,111.9,0.52,0.7,2,28,1,104.3,112.1,0.267,0.2,1,0.806,0.194
6,Oklahoma City Thunder,Atlanta Hawks,2022-03-30,27,1,103.8,111.2,0.293,0.2,0,17,1,113.2,112.4,0.507,0.7,1,0.309,0.691
