Player,Team,Salary,Total Salary Owed
Elijah Hughes,UTA,898310,2416291
Tre Jones,SAS,898310,2416291
CJ Elleby,POR,898310,2416291
Isaiah Joe,PHI,898310,2416291
Jordan Nwora,MIL,898310,2416291
Daniel Oturu,LAC,898310,2416291
Sam Merrill,MIL,898310,1398310
Anthony Gill,WAS,898310,898310
Kenyon Martin Jr.,HOU,898310,898310
Vlatko Cancar,DEN,898310,898310
Khyri Thomas,ATL,744684,744684
Cole Aldrich,MIN,685340,685340
Shaun Livingston,GSW,666667,1999999
Dakari Johnson,MEM,459414,459414
A.J. Hammons,MIA,350087,350087
Rayjon Tucker,CLE,340000,340000
Oshae Brissett,TOR,300000,300000
Frank Jackson,OKC,250000,250000
Justin Anderson,PHI,125000,125000
Troy Williams,HOU,122741,368223
Demetrius Jackson,BOS,92857,371428
Henry Ellenson,TOR,50000,50000
Chimezie Metu,SAC,50000,50000
Amir Coffey,LAC,125000,125000
Juan Toscano-Anderson,GSW,900000,900000
Reggie Perry,BKN,900000,900000
Carmelo Anthony,POR,2564753,2500000
Keljin Blevins,POR,900000,900000
Juwan Morgan,UTA,900000,900000
PJ Dozier,DEN,1250000,1250000
Juancho Hernangomez,MIN,6500000,6500000
Nathan Knight,ATL,900000,900000
Adam Mokoka,CHI,900000,900000
Skylar Mays,ATL,900000,900000
Brandon Ingram,NOP,27285000,27285000
Theo Pinson,NYK,900000,900000
Marques Bolden,CLE,900000,900000
