player,team,full_team,season_avg_ppg,playoffs_avg_ppg,season_ts_percent,playoffs_ts_percent,games_played,playoffs_games_played,ppg_rank,top20_scorers,player_mvp_calc_adj,games_missed,penalized_games_missed,top5_candidates,mvp_rank
Bruce Brown,BKN,Brooklyn Nets,9,14,0.575,0.676,72,4,219,Other,16.7,10,0,Other,147
Mohamed Bamba,ORL,Orlando Magic,10.6,NA,0.581,NA,71,NA,167,Other,16.7,11,0,Other,146
Jarred Vanderbilt,MIN,Minnesota Timberwolves,6.9,5.5,0.612,0.525,74,6,302,Other,16.6,8,0,Other,149
Kyle Anderson,MEM,Memphis Grizzlies,7.6,6,0.506,0.611,69,12,266,Other,16.6,13,0,Other,148
Hassan Whiteside,UTA,Utah Jazz,8.2,1.8,0.662,0.4,65,6,248,Other,16.56,17,1,Other,150
Lonnie Walker,SAS,San Antonio Spurs,12.1,NA,0.512,NA,70,NA,133,Other,16.5,12,0,Other,151
Chris Boucher,TOR,Toronto Raptors,9.4,11.2,0.571,0.722,80,6,198,Other,16.4,2,0,Other,153
Jae'Sean Tate,HOU,Houston Rockets,11.8,NA,0.567,NA,78,NA,137,Other,16.4,4,0,Other,154
Royce O'Neale,UTA,Utah Jazz,7.4,6.2,0.608,0.516,77,6,280,Other,16.4,5,0,Other,152
Norman Powell,LAC,Los Angeles Clippers,19,NA,0.603,NA,45,NA,45,Other,16.35,37,21,Other,155
Josh Richardson,SAS,San Antonio Spurs,10.2,NA,0.573,NA,65,NA,178,Other,16.17,17,1,Other,156
Otto Porter,GSW,Golden State Warriors,8.2,5.4,0.58,0.63,63,19,246,Other,16.17,19,3,Other,157
Derrick Rose,NYK,New York Knicks,12,NA,0.541,NA,26,NA,134,Other,16.13,56,40,Other,158
Mason Plumlee,CHA,Charlotte Hornets,6.5,NA,0.603,NA,73,NA,314,Other,16.1,9,0,Other,159
Coby White,CHI,Chicago Bulls,12.7,8.4,0.564,0.445,61,5,123,Other,16.02,21,5,Other,160
Josh Giddey,OKC,Oklahoma City Thunder,12.5,NA,0.478,NA,54,NA,126,Other,15.96,28,12,Other,161
Bones Hyland,DEN,Denver Nuggets,10.1,9.2,0.558,0.546,69,5,181,Other,15.8,13,0,Other,162
P.J. Tucker,MIA,Miami Heat,7.6,7.9,0.593,0.612,71,18,272,Other,15.7,11,0,Other,163
Duncan Robinson,MIA,Miami Heat,10.9,5.6,0.573,0.612,79,13,156,Other,15.6,3,0,Other,164
Tim Hardaway,DAL,Dallas Mavericks,14.2,NA,0.52,NA,42,NA,102,Other,15.45,40,24,Other,165
